Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
S&atilde;o Sebasti&atilde;o do Rio Verde,3164902,rio-verdense,PAULO HENRIQUE DE SOUZA PINTO,90.848,2300,25.32,2373,100,0.676,-,32128177.5,28711314.16,15800.11,
S&atilde;o Tiago,3165008,s&atilde;o-tiaguense,ALEXANDRE NONATO ALMEIDA VIVAS,572.400,11192,19.55,11517,99.57,0.662,9.09,64215394.23,55591160.2,22414.96,
S&atilde;o Tom&aacute;s de Aquino,3165107,aquinense,DANIEL FERREIRA DA SLVA,277.928,6740,24.25,6853,93.51,0.700,-,48938625.6,42021199.98,27976.08,
S&atilde;o Tom&eacute; das Letras,3165206,s&atilde;o-tomeense,DONIZETE FLAUZINO DA ROCHA,369.747,6904,18.67,7089,99.73,0.667,-,46283634.76,44327425.32,19208.82,
S&atilde;o Vicente de Minas,3165305,vicenciano,MARIA LINDINALVA LEITE LUCINDA,392.651,6804,17.33,6935,99.14,0.715,-,50900316.17,49428199.29,26169.34,
Sapuca&iacute;-Mirim,3165404,sapucaiense,NILSON GON&Ccedil;ALVES TRINDADE,285.073,6311,22.14,6462,100,0.680,14.29,47719489.92,42424330.22,15652.58,
Sardo&aacute;,3165503,sardoense,IVANIA MARIA MAIA,141.904,5104,35.97,5164,97.96,0.636,15.63,43577515.36,39214387.22,10715.08,
Sarzedo,3165537,sarzedense,RITA DE CASSIA DAS GRA&Ccedil;AS SANTOS,62.134,36844,592.98,39327,99.35,0.734,17.41,272114040.94,286202549.68,64346.33,
Setubinha,3165552,setubinhense,VALDETE ALECRIM COELHO,534.655,9917,18.55,10032,99.11,0.542,7.3,56825122.29,53174926.75,9820.38,
Sem-Peixe,3165560,sempeixiano,EDER EL&Oacute;I ALVES PENA,176.634,2433,13.77,2441,100,0.654,45.45,33512741.72,33980087.22,14216.64,
Senador Amaral,3165578,amaralense,DANIEL FRANCO DA SILVEIRA,151.097,6206,41.07,6458,100,0.661,7.58,49483585.79,43729420.27,16672.42,
Senador Cortes,3165602,senador-cortense,JOAO LUCIO DUTRA FERREIRA,98.336,2240,22.78,2319,100,0.674,31.25,32957917.31,27358848.27,19007.94,
Senador Firmino,3165701,firminense,GUSTAVO DE CASTRO FERNANDES,166.495,7716,46.34,7945,98.63,0.644,-,49424387.93,40868070.84,13512.67,
Senador Jos&eacute; Bento,3165800,senabentense,ANDREIA REGINA IN&Aacute;CIO MEIRA,93.892,2068,22.03,2137,100,0.684,-,26335123.6,24311300.62,24962.26,
Senador Modestino Gon&ccedil;alves,3165909,modestinense,JOSE GERALDO NEVES,952.055,4008,4.21,4035,100,0.620,26.32,38951415.29,39008825.48,22733.52,
Senhora de Oliveira,3166006,oliveirense,RICARDO SILVINO RODRIGUES MILAGRES,170.749,5483,32.11,5584,98.4,0.631,-,37153225.46,34860698.12,14013.7,
Senhora do Porto,3166105,portuense,SEBASTIAO AUGUSTO DE ANDRADE FILHO,381.328,3067,8.04,3088,100,0.565,-,32863725.63,29350344.76,14157.59,
Senhora dos Rem&eacute;dios,3166204,remediense,GILBERTO DO NASCIMENTO,237.815,10384,43.66,10640,99.38,0.626,10.87,53846652.15,45481578.72,11053,
Sericita,3166303,sericitense,SEBASTIAO ROBISON CRUZ DOS REIS,166.012,7345,44.24,7536,99.23,0.560,30.93,41640098.37,33859359.21,14303.08,
Seritinga,3166402,seritinguense,EDUARDO ARANTES CARVALHO,114.769,1819,15.85,1864,100,0.660,-,31150860.32,24822295.28,24357.44,
Serra Azul de Minas,3166501,serra-azulense,LEONARDO ELEOTERIO CANDIDO,218.595,3792,17.35,3829,100,0.557,68.97,34942382.93,30342575.99,10499.95,
Serra da Saudade,3166600,serrano-saudalense,NEUSA MARIA RIBEIRO,335.659,833,2.48,854,100,0.677,-,31052378.95,26301850.01,28392.42,
Serra dos Aimor&eacute;s,3166709,serrense,ED WANDER PINTO,213.574,6944,32.51,6936,99.19,0.651,11.36,41988149.85,38317936.73,10433.7,
Serra do Salitre,3166808,serralitrense,IZAEL ALVES SILVA,1295.272,11801,9.11,12210,98.91,0.696,5.65,145862715.89,141578487.93,83678.44,
Serrania,3166907,serraniense,ALEXANDRA MARIA DE OLIVEIRA DIAS BUENO,209.270,7621,36.42,7802,100,0.677,-,43258781.88,39867534.68,21083.52,
Serran&oacute;polis de Minas,3166956,serranopolitano de minas,MAX VINICIUS AGUIAR MARTINS,551.954,4399,7.97,4496,100,0.633,-,41931046.78,36515292.63,9813.13,
Serranos,3167004,serranense,REGINALDO RAEL ARANTES,213.173,1990,9.34,2035,100,0.643,-,31825606.26,28108283.87,19785.54,
Serro,3167103,serrano,EPAMINONDAS PIRES DE MIRANDA,1217.813,21952,18.03,22550,97.42,0.656,11.81,123886138.1,105308704.63,13982.29,
Sete Lagoas,3167202,sete-lagoano,JEFERSON DOUGLAS SOARES ESTANISLAU,536.928,227397,423.51,237931,99.16,0.760,8.54,1437247931.07,1414738001.91,51894.81,
Silveir&acirc;nia,3167301,silveiranense,J&Uacute;LIO CESAR GOMES GROSSI,157.456,2323,14.75,2391,100,0.652,55.56,35806343.67,31643645.11,15505.21,
Silvian&oacute;polis,3167400,silvianopolense,L&Uacute;CIO TADEU ANDRADE PEIXOTO,312.166,6179,19.79,6336,97.79,0.699,17.54,41614654.82,39677482.16,22619.95,
Sim&atilde;o Pereira,3167509,simonense,DAVID CARVALHO PIMENTA,135.689,2947,21.72,3060,84.92,0.638,57.14,47233673.92,38305587.81,39707.08,
Simon&eacute;sia,3167608,simonense,MARINALVA FERREIRA,486.543,19750,40.59,20339,98.86,0.632,17.91,110463046.27,107195641.76,14383.71,
Sobr&aacute;lia,3167707,sobraliense,ROBERTO MOREIRA RODRIGUES JUNIOR,206.787,5137,24.84,5175,100,0.631,-,55943737.62,50428365.51,12303.29,
Soledade de Minas,3167806,soledadense,L&Uacute;CIO ANT&Ocirc;NIO ALVES,196.866,5613,28.51,5733,98.4,0.697,39.22,36211710.91,31250778.26,13150.84,
Tabuleiro,3167905,tabuleirense,AILTON SERGIO MOREIRA FERRAZ,211.084,4014,19.02,4098,98.74,0.681,-,49545265.57,32719897.84,17915.28,
Taiobeiras,3168002,taiobeirense,DENERVAL GERMANO DA CRUZ,1220.045,33050,27.09,34392,99.32,0.670,14.42,184430056.47,169166389.96,16085.74,
Taparuba,3168051,taparubense,JOAQUIM CARLOS DA SILVA NETO,193.082,3387,17.54,3492,100,0.645,-,42422321.26,39938855.71,15864.94,
Tapira,3168101,tapirense,MAURA ASSUN&Ccedil;&Atilde;O DE MELO PONTES,1179.248,4118,3.49,4212,99.53,0.712,21.74,95865636.83,79118440.77,140948.55,
Tapira&iacute;,3168200,tapiraiense,VANDERLEI CASSIANO DE RESENDE,407.920,1690,4.14,1707,98.82,0.667,-,28250638.13,21904283.86,29984.35,
Taquara&ccedil;u de Minas,3168309,taquara&ccedil;uense,MARCILIO BEZERRA DA CRUZ,329.287,4224,12.83,4368,100,0.651,-,41896383.52,39213154.64,16000.68,
Tarumirim,3168408,tarumirinhense,MARCUS VINICIUS FERREIRA DA COSTA,731.753,14709,20.10,15072,99.41,0.633,14.81,73651973.86,70346886.07,13189.15,
Teixeiras,3168507,teixeirense,NIVALDO RITA,166.735,12255,73.50,12634,99.61,0.675,-,60129882.05,55086834.34,16380.33,
Te&oacute;filo Otoni,3168606,te&oacute;filo-otonense,F&Aacute;BIO MARINHO DOS SANTOS,3242.270,137418,42.38,142571,98.53,0.701,14.79,844530157.39,957161256.92,20893.97,
Tim&oacute;teo,3168705,timotense,VITOR VICENTE DO PRADO,144.381,81579,565.03,84087,99.3,0.770,2.26,485207861.03,454466414.18,61482,
Tiradentes,3168804,tiradentino,JOS&Eacute; ANT&Ocirc;NIO DO NASCIMENTO,83.047,7744,93.25,8008,98.54,0.740,-,52415368.03,47408387.17,25209.23,
Tiros,3168903,tirense,FERNANDA APARECIDA LAGARES DE OLIVEIRA,2091.774,7883,3.77,8172,100,0.683,27.03,61511739.85,54129223.87,59641.82,
Tocantins,3169000,tocantinense,SILAS FORTUNATO DE CARVALHO,173.866,16185,93.09,16574,99.07,0.688,-,87146325.37,84292437.92,20853.44,
Tocos do Moji,3169059,tocos-mogiense,JOSE MARIA CANTUARIA,114.705,3826,33.36,3899,100,0.696,20,36307168.04,32716276.46,17177.37,
Toledo,3169109,toledense,ZILDO ALEXANDRO DE OLIVEIRA,136.776,7214,52.74,7541,99.1,0.661,13.7,47471893.42,47876104.26,16912.97,
Tombos,3169208,tombense,TIAGO PEDROSA LAZZARONI DALPERIO,285.124,8609,30.19,8699,99.69,0.718,13.89,49399173.81,46803973.19,17047.93,
Tr&ecirc;s Cora&ccedil;&otilde;es,3169307,tricordiano,DIMAS PEREIRA E ABRAH&Atilde;O,828.038,75485,91.16,78079,99.58,0.744,13.22,381107885.18,389446838.04,36734.42,
Tr&ecirc;s Marias,3169356,trimariense,DANILO BARBOSA REZENDE,2678.254,28895,10.79,29927,99.81,0.752,-,246605706.76,238331699.68,95324.95,
Tr&ecirc;s Pontas,3169406,tr&ecirc;s-pontano,LUIS CARLOS DA SILVA,689.794,55255,80.10,57086,99.51,0.731,12.35,331014298.72,333166922.86,32896.24,
Tumiritinga,3169505,tumiritinguense,NILSON GUIMAR&Atilde;ES,500.073,5886,11.77,5973,99.33,0.626,26.67,55048433.63,54755536.5,12198.83,
Tupaciguara,3169604,tupaciguarense,FRANCISCO LOUREN&Ccedil;O BORGES NETO,1822.530,25470,13.98,26482,98.52,0.719,17.01,196519288.14,184338617.71,37169.53,
Turmalina,3169703,turmalinense,ZILMAR PINHEIRO LOPES,1153.111,20000,17.34,20650,100,0.682,9.26,121529289.5,115115464.27,21879.01,
Turvol&acirc;ndia,3169802,turvolandense,JOSE NELSON MARTINS,221.000,4935,22.33,5078,100,0.696,15.63,45297554.63,45685534.33,27420.97,
Ub&aacute;,3169901,ubaense,JOSE DAMATO NETO,407.452,103365,253.69,107222,97.13,0.724,8.74,563593275.19,498631709.54,30288.91,
Uba&iacute;,3170008,ubaiense,FARLEY VIEIRA RIBEIRO,820.524,11708,14.27,11977,99.74,0.609,-,58198037.41,56175858.05,9258.29,
Ubaporanga,3170057,ubaporanguense,GLEYDSON DELFINO FERREIRA,189.045,13017,68.86,13423,98.93,0.614,13.7,68953205.52,61227027.49,13424.24,
Uberaba,3170107,uberabense,ELISA GON&Ccedil;ALVES DE ARA&Uacute;JO,4523.957,337836,74.68,354142,98.09,0.772,10.2,2364875962.74,2144400106.09,59943.87,
Uberl&acirc;ndia,3170206,uberlandense,PAULO S&Eacute;RGIO FERREIRA,4115.206,713224,173.31,754954,98.83,0.789,10.56,4504632618.18,4758850443.09,61038.02,
Umburatiba,3170305,umburatibense,JO&Atilde;O BATISTA SILVA OLIVEIRA,405.834,2684,6.61,2742,100,0.638,32.26,34372611.42,33384753.67,17107.6,
Una&iacute;,3170404,unaiense,THIAGO MARTINS RODRIGUES,8445.432,86619,10.26,90724,98.73,0.736,6.69,568941733.07,542563355.86,50544.26,
Uni&atilde;o de Minas,3170438,uniense,GEOVA TOMAZ DE ALMEIDA,1147.407,3828,3.34,3848,98.93,0.672,25,46556961.52,37911963.23,30580,
Uruana de Minas,3170479,uruanense,BRUNO RAPHAEL MOTA FERREIRA,598.221,3282,5.49,3360,99.39,0.664,43.48,41743631.14,39467816.62,29820.95,
Uruc&acirc;nia,3170503,urucaniense,SERGIO LUIZ DE ALBUQUERQUE,138.792,10600,76.37,10875,98.67,0.633,-,57808938.54,48943117.2,23226.29,
Urucuia,3170529,urucuiano,JOS&Eacute; AILSON DANTAS QUEIROZ,2076.942,17479,8.42,18291,98.81,0.619,8.4,84237570.33,86758431.14,11061.34,
Vargem Alegre,3170578,vargealegrense,MARIA CECILIA DA COSTA GARCIA,116.664,5780,49.54,5834,99.59,0.631,-,39674154.81,36346077.35,11970.81,
Vargem Bonita,3170602,vargiano,JOSE GARCIA DE FARIA,409.888,2158,5.26,2206,100,0.696,37.04,34566784.48,29905552.15,40894.45,
Vargem Grande do Rio Pardo,3170651,vargengrandense,GABRIEL ARCANJO BRAZ,491.512,4633,9.43,4727,100,0.634,17.54,45257158.37,40141265.31,13504.4,
Varginha,3170701,varginhense,LEONARDO VINHAS CIACCI,395.396,136467,345.14,142802,99.79,0.778,12.91,12714627854.34,10224211840.85,58817.87,
Varj&atilde;o de Minas,3170750,varjonense,RAFAEL COSTA DE TONI,651.505,6969,10.70,7243,97.15,0.711,20.83,58645517.01,46739225.63,43704.06,
V&aacute;rzea da Palma,3170800,v&aacute;rzea-palmense,RODRIGO AGUIAR DALLA BERNARDINA,2220.279,33744,15.20,34639,98.22,0.666,11.49,185527665.69,169750436.78,26623.1,
Varzel&acirc;ndia,3170909,varzelandense,AMANCIO OLIVA NETO,814.994,18840,23.12,19214,99.28,0.594,29.17,100528119.61,98837859.42,9704.8,
Vazante,3171006,vazantino,GABRIEL AFRANIO ROSA DE FARIA BARRA,1913.396,19975,10.44,20433,98.75,0.742,9.05,160644315.33,151486950.43,56478.26,
Verdel&acirc;ndia,3171030,verdelandense,WILTON LEITE MADUREIRA,1570.582,7672,4.88,7770,99.03,0.584,6.85,52000922.76,52837199.67,12118.32,
Veredinha,3171071,veredinhense,NEREU AQUILES CORDEIRO MACHADO,631.691,5181,8.20,5257,100,0.632,23.26,48826417.61,44434826.07,23208.11,
Ver&iacute;ssimo,3171105,verissimense,MARCO AURELIO DOS SANTOS HORTENCIO,1031.823,3411,3.31,3480,95.01,0.667,-,42454810.08,35125239.98,41671,
Vermelho Novo,3171154,vermelhense,CL&Eacute;CIUS VINICIUS PINTO,115.242,4899,42.51,5034,99.11,0.612,49.18,41360667.18,35075457.54,13235.02,
Vespasiano,3171204,vespasianense,JOSE WINSTON DA SILVA,70.543,129246,1819.34,136826,98.05,0.688,9.68,614275559.44,611545773.98,22909.06,
Vi&ccedil;osa,3171303,vi&ccedil;osense,ANGELO CHEQUER,299.418,76430,255.26,79221,99.34,0.775,8.02,470427273.55,457669704.44,22673.74,
Vieiras,3171402,vieirense,RICARDO CELLES MAIA,112.691,3700,32.83,3780,99.3,0.668,-,42800371.16,34897810.22,14974.51,
Mathias Lobato,3171501,matiense,KARLA PESSAM&Iacute;LIO SOUZA LOPES,172.297,3038,17.63,3069,98.97,0.612,-,60118923.44,54975624.46,13915.37,
Virgem da Lapa,3171600,virgem-lapense,AVERALDO MOREIRA MARTINS,868.914,11804,13.58,11867,99.22,0.610,-,74041650.25,74131635.88,9585.82,
Virg&iacute;nia,3171709,virginense,BRUNO RIBEIRO NEGREIROS,326.515,8908,27.28,9142,99.56,0.651,24.39,49698949.49,48238509.26,20855.96,
Virgin&oacute;polis,3171808,virginopolitano,JOSU&Eacute; ARRUDA DOS SANTOS,439.878,10314,23.45,10519,98.89,0.675,-,68103990.16,72844339.2,17587.98,
Virgol&acirc;ndia,3171907,virgolandense,JOSE ISMAR DE ASSIS NETO,281.022,4552,16.20,4530,100,0.620,56.6,43157495.55,36453044.8,11818.51,
Visconde do Rio Branco,3172004,rio-branquense,LUIZ FABIO ANTONUCCI FILHO,243.351,39160,160.92,40608,99.01,0.709,20,192408856.79,193491609.42,31179.87,
Volta Grande,3172103,volta-grandense,IVAN SOARES PULLIG,205.552,4443,21.61,4473,99.39,0.669,45.45,42598966.31,36103782.15,26633.91,
Wenceslau Braz,3172202,wenceslauense,EDVALDO JOS&Eacute; BITENCOURT,102.487,2356,22.99,2387,100,0.678,-,32775320.96,28063766.68,13011.59,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>Popula&ccedil;&atilde;o no &uacute;ltimo censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Popula&ccedil;&atilde;o estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
