Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Santa Cruz do Escalvado,3157401,santa-cruzense,GILMAR DE PAULA LIMA,258.726,4673,18.06,4743,100,0.625,-,43114064.52,35308207.61,16399.94,
Santa Efig&ecirc;nia de Minas,3157500,santa-efigense,CLEIDINY DOS SANTOS,131.965,4039,30.61,4067,95.38,0.607,18.52,35795930.24,31274390.97,11717.67,
Santa F&eacute; de Minas,3157609,santa-feense,GLEBSON JOS&Eacute; LEITE J&Uacute;NIOR,2917.448,3522,1.21,3551,97.4,0.615,-,43014752.03,42604853.04,15749.38,
Santa Helena de Minas,3157658,santaelenense de minas,MARCUS AUR&Eacute;LIUS RODRIGUES,276.433,5938,21.48,6059,93.92,0.567,38.46,38521848.19,35686919.76,9046.39,
Santa Juliana,3157708,santa-julianense,JULIANO GERALDO DA CUNHA,723.784,15734,21.74,16568,97.82,0.706,8.44,130845531.13,119869283.57,59355.88,
Santa Luzia,3157807,luziense,PAULO HENRIQUE PAULINO E SILVA,235.079,219132,931.66,229483,98.82,0.715,10.59,871988657.92,818687259.14,23863.19,
Santa Margarida,3157906,santa-margaridense,ILBNELLE SANTANA OTONI,255.730,16395,64.11,16903,98.59,0.610,23.35,94598374.28,83814982.78,21598.4,
Santa Maria de Itabira,3158003,santa-mariense,ANDR&Eacute; LUCIO TORRES,597.441,10485,17.55,10716,99.59,0.648,18.35,66335454.98,61431460.18,24757.78,
Santa Maria do Salto,3158102,santa-mariense,DAMI&Atilde;O SOUZA ORMUNDO,440.605,4755,10.79,4803,100,0.613,-,35173265.77,30433269.5,9608.97,
Santa Maria do Sua&ccedil;u&iacute;,3158201,santa-mariense,ELIAS SILVEIRA GODINHO,624.047,12788,20.49,12898,98.81,0.640,18.07,67334123.93,69736378.3,11695.78,
Santana da Vargem,3158300,vargense,ARGEMIRO RODRIGUES GALV&Atilde;O,172.444,6691,38.80,6781,99.74,0.698,25,45402342.44,40105742.37,34469.93,
Santana de Cataguases,3158409,santanense,MARCOS ANTONIO FERREIRA,161.486,3489,21.61,3553,98.87,0.694,80,34782731.83,33346051.29,12773.83,
Santana de Pirapama,3158508,pirapamenho,MARCOS HENRIQUE GOMES TAMEIRAO,1255.832,7030,5.60,7079,98.04,0.628,14.29,44955106.08,38933551.2,15479.54,
Santana do Deserto,3158607,santanense,RICARDO VIANA DE LIMA,182.655,3747,20.51,3819,98.44,0.651,66.67,50183527.22,36609348.81,11889.16,
Santana do Garamb&eacute;u,3158706,santanense,JOSE FRANCISCO DE MOURA,203.074,2137,10.52,2175,100,0.667,43.48,33045095.67,29394290.97,15700.64,
Santana do Jacar&eacute;,3158805,santanense,RENATO TIRADO FREIRE,106.169,4214,39.69,4265,100,0.647,-,35684850.21,30781790.69,21867.84,
Santana do Manhua&ccedil;u,3158904,santanense,FRANCISCO DE PAULO FREITAS,347.362,8987,25.87,9236,98.95,0.621,15.04,58269507.87,52530408.04,21922.2,
Santana do Para&iacute;so,3158953,paraisense,BRUNO CAMPOS MORATO,276.067,44800,162.28,48286,98.9,0.685,4.65,217806150.27,190202343.05,20818.42,
Santana do Riacho,3159001,riachense,FERNANDO RIBEIRO BURGARELLI,677.207,5313,7.85,5579,97.57,0.665,-,66134147.79,49774141.74,23947,
Santana dos Montes,3159100,santanense,ALOISO VIANA DA SILVA,196.565,3469,17.65,3507,100,0.647,-,35804672.49,31865918.17,13286.87,
Santa Rita de Caldas,3159209,santa-ritense,EDVAN LOPES,503.011,8460,16.82,8588,100,0.690,-,51062902.31,47973471,25612.88,
Santa Rita de Jacutinga,3159308,santa-ritense,LUIZ FERNANDO OS&Oacute;RIO,420.940,4755,11.30,4836,99.35,0.682,-,42653291.68,38313994.93,15448.41,
Santa Rita de Minas,3159357,santa-ritense,ZANIA FARIA SILVA,68.153,6773,99.38,6952,99.57,0.613,32.61,43983471.16,41720458.36,20733.84,
Santa Rita de Ibitipoca,3159407,ibitipoquense,LEANDRO EDUARDO FONSECA PAULA,324.234,3301,10.18,3344,100,0.630,30.3,38306869.29,31888170.62,18272.52,
Santa Rita do Itueto,3159506,santa-ritense,ODENIR RAPOSO DE OLIVEIRA,485.081,5826,12.01,5973,99.15,0.607,24.39,49284159.26,42995862.89,33004.29,
Santa Rita do Sapuca&iacute;,3159605,santa-ritense,LEANDRO HENRIQUE MENDES,352.969,40635,115.12,42320,99.32,0.721,6.11,221335345.26,204135048.29,43969.93,
Santa Rosa da Serra,3159704,rosalense,FREDERICO OZANAN RANGEL,284.334,3382,11.89,3476,97.23,0.705,-,39444964.39,35830316.94,30331.26,
Santa Vit&oacute;ria,3159803,santa-vitoriense,SERGIO MOREIRA DE OLIVEIRA JUNIOR,2998.364,20973,6.99,21745,99.69,0.710,4.69,224483581.05,236588043.15,40140.53,
Santo Ant&ocirc;nio do Amparo,3159902,amparense,CARLOS HENRIQUE AVELAR,488.885,17285,35.36,17651,98.59,0.672,5.56,109432170.82,98643849.9,18956.63,
Santo Ant&ocirc;nio do Aventureiro,3160009,aventureirense,AMAURY DE S&Aacute; FERREIRA,202.032,3769,18.66,3881,100,0.671,-,35952467.96,30829553.16,18856.11,
Santo Ant&ocirc;nio do Grama,3160108,gramense,MARCO AUR&Eacute;LIO RAMINHO,130.213,4229,32.48,4342,100,0.633,21.28,36855498.98,32242767.72,22189.15,
Santo Ant&ocirc;nio do Itamb&eacute;,3160207,itambeano,RONAM WESLEY SALES,305.737,3915,12.81,3979,98.87,0.558,-,34781018.38,30858329.21,11880.62,
Santo Ant&ocirc;nio do Jacinto,3160306,santo-antoniense,EDEMARK PINHEIRO DE ALMEIDA RUAS,503.706,10327,20.50,10397,99.57,0.574,11.76,61039683.41,54203565.21,9900.93,
Santo Ant&ocirc;nio do Monte,3160405,santo-antoniense,LEONARDO LACERDA CAMILO,1125.780,27295,24.25,28358,98.62,0.724,5.59,182435889.88,166611376.72,29473.46,
Santo Ant&ocirc;nio do Retiro,3160454,retirense,IVO FERNANDES SILVA,796.290,6629,8.32,6743,100,0.570,12.35,45352232,39404886.97,9670.55,
Santo Ant&ocirc;nio do Rio Abaixo,3160504,santo-antoniense,ALEXANDRE RODRIGUES DE SOUZA,107.269,1808,16.85,1853,100,0.669,-,30455753.62,27395514.62,16228.63,
Santo Hip&oacute;lito,3160603,santo-hipolitense,HELIOMAR ROCHA TEIXEIRA,430.656,2717,6.31,2720,100,0.657,-,33667774.68,32631894.3,16491.4,
Santos Dumont,3160702,sandumonense,PACIFICO ESTITES RODRIGUES JUNIOR,637.373,42406,66.53,43392,99.31,0.741,2.57,190868976.82,174321748.51,23793.1,
S&atilde;o Bento Abade,3160801,s&atilde;o-bentense,ENEIAS MACHADO DE SOUZA,80.403,4713,58.62,4835,100,0.672,22.22,44256586.31,36878623.93,16505.34,
S&atilde;o Br&aacute;s do Sua&ccedil;u&iacute;,3160900,sua&ccedil;uiense,GERALDINO PACHECO DE OLIVEIRA FILHO,110.019,3989,36.26,4133,98.96,0.664,-,66342241.76,51149952.32,21354.17,
